aa,data/abw
ac,data/atg
ae,data/are
af,data/afg
ag,data/dza
aj,data/aze
al,data/alb
am,data/arm
an,data/and
ao,data/ago
ar,data/arg
as,data/aus
at,data/aus
au,data/aut
av,data/aia
ax,data/gbr
ba,data/bhr
bb,data/brb
bc,data/bwa
bd,data/bmu
be,data/bel
bf,data/bhs
bg,data/bgd
bh,data/blz
bk,data/bih
bl,data/bol
bm,data/mmr
bn,data/ben
bo,data/blr
bp,data/slb
br,data/bra
bt,data/btn
bu,data/bgr
bv,data/bvt
bx,data/brn
by,data/bdi
ca,data/can
cb,data/khm
cd,data/tcd
ce,data/lka
cf,data/cog
cg,data/cod
ch,data/chn
ci,data/chl
cj,data/cym
ck,data/cck
cm,data/cmr
cn,data/com
co,data/col
cr,data/aus
cs,data/cri
ct,data/caf
cu,data/cub
cv,data/cpv
cw,data/cok
cy,data/cyp
da,data/dnk
dj,data/dji
do,data/dma
dr,data/dom
dx,data/gbr
ec,data/ecu
eg,data/egy
ei,data/irl
ek,data/gnq
en,data/est
er,data/eri
es,data/slv
et,data/eth
ez,data/cze
fg,data/guf
fi,data/fin
fj,data/fji
fk,data/flk
fm,data/fsm
fo,data/fro
fp,data/pyf
fr,data/fra
fs,data/atf
ga,data/gmb
gb,data/gab
gg,data/geo
gh,data/gha
gi,data/gib
gj,data/grd
gk,data/ggy
gl,data/grl
gm,data/deu
gp,data/glp
gr,data/grc
gt,data/gtm
gv,data/gin
gy,data/guy
gz,data/pse
ha,data/hti
hk,data/hkg
hm,data/hmd
ho,data/hnd
hr,data/hrv
hu,data/hun
ic,data/isl
id,data/idn
im,data/imn
in,data/ind
io,data/iot
ip,data/fra
ir,data/irn
is,data/isr
it,data/ita
iv,data/civ
iz,data/irq
ja,data/jpn
je,data/jey
jm,data/jam
jn,data/sjm
jo,data/jor
ke,data/ken
kg,data/kgz
kn,data/prk
kr,data/kir
ks,data/kor
kt,data/cxr
ku,data/kwt
kv,data/xks
kz,data/kaz
la,data/lao
le,data/lbn
lg,data/lva
lh,data/ltu
li,data/lbr
lo,data/svk
ls,data/lie
lt,data/lso
lu,data/lux
ly,data/lby
ma,data/mdg
mb,data/mtq
mc,data/mac
md,data/mda
mf,data/myt
mg,data/mng
mh,data/msr
mi,data/mwi
mj,data/mne
mk,data/mkd
ml,data/mli
mn,data/mco
mo,data/mar
mp,data/mus
mr,data/mrt
mt,data/mlt
mu,data/omn
mv,data/mdv
mx,data/mex
my,data/mys
mz,data/moz
nc,data/ncl
ne,data/niu
nf,data/nfk
ng,data/ner
nh,data/vut
ni,data/nga
nl,data/nld
nm,data/isr
nn,data/sxm
no,data/nor
np,data/npl
nr,data/nru
ns,data/sur
nu,data/nic
nz,data/nzl
od,data/ssd
os,data/usa
pa,data/pry
pc,data/pcn
pe,data/per
pf,data/chn
pg,data/chn
pk,data/pak
pl,data/pol
pm,data/pan
po,data/prt
pp,data/png
ps,data/plw
pu,data/gnb
qa,data/qat
re,data/reu
ri,data/srb
rm,data/mhl
rn,data/maf
ro,data/rou
rp,data/phl
rq,data/usa/pr
rs,data/rus
rw,data/rwa
sa,data/sau
sb,data/spm
sc,data/kna
se,data/syc
sf,data/zaf
sg,data/sen
sh,data/shn
si,data/svn
sl,data/sle
sm,data/smr
sn,data/sgp
so,data/som
sp,data/esp
st,data/lca
su,data/sdn
sv,data/sjm
sw,data/swe
sx,data/sgs
sy,data/syr
sz,data/che
tb,data/blm
td,data/tto
th,data/tha
ti,data/tjk
tk,data/tca
tl,data/tkl
tn,data/ton
to,data/tgo
tp,data/stp
ts,data/tun
tt,data/tls
tu,data/tur
tv,data/tuv
tw,data/twn
tx,data/tkm
tz,data/tza
uc,data/cuw
uf,data/usa
ug,data/uga
uk,data/gbr
up,data/ukr
us,data/usa
uv,data/bfa
uy,data/ury
uz,data/uzb
vc,data/vct
ve,data/ven
vi,data/vgb
vm,data/vnm
vt,data/vat
vq,data/vir
wa,data/nam
we,data/pse
wf,data/wlf
wi,data/esh
ws,data/wsm
wz,data/swz
ym,data/yem
za,data/zmb
zi,data/zwe
